ss_date,se_date,season_name
,,1964-1965 Season
,,1965-1966 Season
,,1966-1967 Season
,,1967-1968 Season
,,1968-1969 Season
,,1969-1970 Season
,,1970-1971 Season
,,1971-1972 Season
,,1972-1973 Season
,,1973-1974 Season
,,1974-1975 Season
,,1975-1976 Season
,,1976-1977 Season
,,1977-1978 Season
,,1979-1980 Season
,,1980-1981 Season
,,1981-1982 Season
,,1982-1983 Season
,,1983-1984 Season
,,1984-1985 Season
,,1985-1986 Season
,,1986-1987 Season
,,1987-1988 Season
,,1988-1989 Season
,,1989-1990 Season
,,1990-1991 Season
,,1991-1992 Season
,,1992-1993 Season
,,1993-1994 Season
,,1994-1995 Season
,,1995-1996 Season
,,1996-1997 Season
,,1997-1998 Season
,,1998-1999 Season
,,2008-1999 Season
,,1999-2000 Season
,,2000-2001 Season
,,2001-2002 Season
,,2002-2003 Season
,,2003-2004 Season
,,2004-2005 Season
,,2005-2006 Season
,,2006-2007 Season
,,2007-2008 Season
,,2008-2009 Season
,,2009-2010 Season
,,2010-2011 Season
,,2011-2012 Season
,,2012-2013 Season
,,2013-2014 Season
,,2014-2015 Season
,,2015-2016 Season
,,2016-2017 Season
2017-10-01,2018-03-31,2017-2018 Season
2018-10-01,2019-03-31,2018-2019 Season
2019-10-01,2020-03-31,2019-2020 Season
2020-10-01,2021-03-31,2020-2021 Season
2021-10-01,2022-03-31,2021-2022 Season
2022-10-01,2023-03-31,2022-2023 Season
2023-10-01,2024-03-31,2023-2024 Season